id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik
98,10,2026-03-26 10:26:45,2026-03-26 10:28:43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,49.0,60.0,50.0,50.0,90.0,60.0,40.0,80.0,7.0,0.0,,,,,,,,,
99,6,2026-03-26 10:27:04,2026-03-26 10:27:19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,2026-03-26 10:30:02,2026-03-26 10:30:09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,2026-03-26 10:31:52,2026-03-26 10:39:04,1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,3.0,180.0,53.0,1.0,500.0,8.0,1.0,3.0
102,10,2026-03-26 10:32:07,2026-03-26 10:35:24,1,10.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
103,7,2026-03-26 10:32:39,2026-03-26 10:32:55,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,2026-03-26 10:32:47,2026-03-26 10:32:47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,13,2026-03-26 10:33:03,2026-03-26 10:36:21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-8.0,-5.0,0.0,0.0,-2.0,-5.0,-10.0,-5.0,7.0,1.0,60.0,1.0,60.0,31.0,3.0,1500.0,3.0,9.0,6.0
106,7,2026-03-26 10:33:10,2026-03-26 10:33:37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,10,2026-03-26 10:34:30,2026-03-26 10:38:29,3,,,,,,,,,,,,,,,,,,,5.0,10.0,5.0,25.0,40.0,35.0,30.0,50.0,60.0,,,,,,,,,,7.0,0.0,,,,,,,,,
108,2,2026-03-26 10:34:35,2026-03-26 10:34:35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,10,2026-03-26 10:36:18,2026-03-26 10:41:04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,
110,13,2026-03-26 10:36:57,2026-03-26 10:41:17,3,,,,,,,,,,,,,,,,,,,-5.0,-4.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,7.0,1.0,30.0,2.0,60.0,38.0,1.0,3800.0,5.0,3.0,4.0
111,13,2026-03-26 10:38:02,2026-03-26 10:44:10,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,60.0,2.0,100.0,60.0,1.0,0.0,5.0,14.0,5.0
112,13,2026-03-26 10:38:42,2026-03-26 10:43:09,3,,,,,,,,,,,,,,,,,,,-9.0,-8.0,-7.0,-2.0,0.0,3.0,8.0,10.0,25.0,,,,,,,,,,7.0,1.0,40.0,4.0,115.0,51.0,3.0,3200.0,8.0,13.0,2.0
113,5,2026-03-26 10:39:29,2026-03-26 10:39:38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,2026-03-26 10:40:20,2026-03-26 10:40:30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,13,2026-03-26 10:42:29,2026-03-26 10:46:38,3,,,,,,,,,,,,,,,,,,,-5.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,5.0,,,,,,,,,,7.0,1.0,40.0,2.0,106.0,57.0,3.0,4579.0,5.0,11.0,5.0
116,13,2026-03-26 10:42:45,2026-03-26 10:45:43,2,,,,,,,,,,-100.0,-80.0,-40.0,-20.0,0.0,9.0,15.0,25.0,40.0,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,3.0,170.0,19.0,1.0,315.0,4.0,6.0,2.0
117,5,2026-03-26 10:43:39,2026-03-26 10:45:05,2,,,,,,,,,,0.0,20.0,40.0,60.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,8,2026-03-26 10:47:51,2026-03-26 10:49:21,3,,,,,,,,,,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,6.0,,,,,,,,,,
119,10,2026-03-26 10:49:06,2026-03-26 10:53:25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,
120,13,2026-03-26 10:50:08,2026-03-26 10:53:59,1,-100.0,-80.0,-50.0,-20.0,0.0,20.0,40.0,60.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,70.0,50.0,3.0,2000.0,5.0,16.0,3.0
121,6,2026-03-26 10:52:23,2026-03-26 10:52:48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,13,2026-03-26 10:54:50,2026-03-26 10:58:39,1,0.0,25.0,50.0,75.0,100.0,125.0,150.0,175.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,88.0,27.0,3.0,3700.0,7.0,3.0,5.0
123,10,2026-03-26 10:55:59,2026-03-26 11:00:09,2,,,,,,,,,,0.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,
124,13,2026-03-26 10:57:55,2026-03-26 11:05:13,3,,,,,,,,,,,,,,,,,,,0.0,0.25,0.4,0.6,1.0,1.25,1.5,1.75,2.0,,,,,,,,,,7.0,1.0,60.0,1.0,72.0,55.0,1.0,1100.0,5.0,8.0,2.0
125,13,2026-03-26 10:58:58,2026-03-26 11:04:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-7.0,-5.0,-3.0,0.0,2.0,4.0,7.0,9.0,7.0,1.0,40.0,2.0,32.0,49.0,3.0,2370.0,5.0,9.0,3.0
126,13,2026-03-26 10:59:20,2026-03-26 11:03:15,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,120.0,38.0,3.0,3000.0,7.0,11.0,4.0
127,2,2026-03-26 10:59:58,2026-03-26 10:59:58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,13,2026-03-26 11:00:59,2026-03-26 11:13:18,3,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,10.0,10.0,12.0,14.0,114.0,,,,,,,,,,7.0,1.0,50.0,1.0,73.0,60.0,1.0,1700.0,1.0,10.0,5.0
129,2,2026-03-26 11:07:42,2026-03-26 11:07:42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6,2026-03-26 11:08:32,2026-03-26 11:08:55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,5,2026-03-26 11:10:57,2026-03-26 11:11:27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,10,2026-03-26 11:12:24,2026-03-26 11:14:31,2,,,,,,,,,,80.0,60.0,40.0,20.0,0.0,20.0,60.0,80.0,40.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
133,5,2026-03-26 11:12:51,2026-03-26 11:14:05,2,,,,,,,,,,0.0,20.0,40.0,60.0,80.0,120.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3,2026-03-26 11:16:55,2026-03-26 11:17:03,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,10,2026-03-26 11:17:08,2026-03-26 11:21:33,3,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,7.0,0.0,,,,,,,,,
136,6,2026-03-26 11:18:49,2026-03-26 11:24:22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,13,2026-03-26 11:27:46,2026-03-26 11:33:21,2,,,,,,,,,,-10.0,-8.0,-5.0,-3.0,0.0,4.0,6.0,8.0,10.0,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,70.0,42.0,3.0,2800.0,5.0,13.0,6.0
138,6,2026-03-26 11:28:05,2026-03-26 11:28:43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2,2026-03-26 11:30:28,2026-03-26 11:30:28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,2026-03-26 11:31:32,2026-03-26 11:31:47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,13,2026-03-26 11:33:55,2026-03-26 11:37:06,2,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7.0,1.0,120.0,4.0,135.0,42.0,3.0,2200.0,5.0,9.0,4.0
142,13,2026-03-26 11:34:51,2026-03-26 11:42:06,1,-100.0,-80.0,-60.0,-20.0,0.0,20.0,40.0,60.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,56.0,61.0,1.0,1250.0,5.0,10.0,4.0
143,13,2026-03-26 11:35:24,2026-03-26 11:42:44,1,80.0,60.0,40.0,20.0,0.0,80.0,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,3.0,100.0,37.0,1.0,200.0,7.0,10.0,4.0
144,10,2026-03-26 11:37:15,2026-03-26 11:38:27,1,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,
145,13,2026-03-26 11:38:00,2026-03-26 11:40:53,3,,,,,,,,,,,,,,,,,,,-100.0,0.0,50.0,70.0,100.0,120.0,140.0,160.0,200.0,,,,,,,,,,7.0,1.0,50.0,2.0,95.0,27.0,1.0,1820.0,5.0,9.0,6.0
146,7,2026-03-26 11:38:40,2026-03-26 11:39:05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,2026-03-26 11:40:22,2026-03-26 11:40:37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,13,2026-03-26 11:41:44,2026-03-26 11:46:15,1,0.0,20.0,40.0,60.0,80.0,120.0,140.0,160.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,60.0,72.0,1.0,2100.0,5.0,7.0,4.0
149,3,2026-03-26 11:44:48,2026-03-26 11:45:03,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,13,2026-03-26 11:50:14,2026-03-26 12:45:31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-95.0,-75.0,-30.0,0.0,20.0,50.0,80.0,100.0,7.0,1.0,30.0,5.0,140.0,43.0,3.0,2400.0,8.0,7.0,5.0
151,13,2026-03-26 11:53:02,2026-03-26 11:55:56,1,1.0,-8.0,-6.0,-4.0,1.0,2.0,4.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,85.0,53.0,3.0,5500.0,8.0,2.0,6.0
152,13,2026-03-26 11:54:23,2026-03-26 12:07:46,3,,,,,,,,,,,,,,,,,,,-100.0,-80.0,-50.0,90.0,0.0,20.0,30.0,50.0,80.0,,,,,,,,,,7.0,1.0,35.0,1.0,36.0,56.0,1.0,1000.0,5.0,13.0,4.0
153,13,2026-03-26 12:02:51,2026-03-26 12:07:34,2,,,,,,,,,,-10.0,-8.0,-6.0,-4.0,0.0,2.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,7.0,1.0,35.0,2.0,87.0,71.0,3.0,4000.0,8.0,13.0,2.0
154,13,2026-03-26 12:11:29,2026-03-26 12:16:45,2,,,,,,,,,,-100.0,-60.0,-50.0,-20.0,0.0,20.0,40.0,70.0,100.0,,,,,,,,,,,,,,,,,,,7.0,1.0,25.0,3.0,170.0,25.0,3.0,2000.0,5.0,1.0,3.0
155,10,2026-03-26 12:13:33,2026-03-26 12:15:13,2,,,,,,,,,,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
156,10,2026-03-26 12:19:33,2026-03-26 12:21:32,3,,,,,,,,,,,,,,,,,,,10.0,5.0,10.0,20.0,0.0,10.0,10.0,10.0,20.0,,,,,,,,,,7.0,0.0,,,,,,,,,
157,13,2026-03-26 12:20:54,2026-03-26 12:24:36,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,60.0,29.0,3.0,1730.0,4.0,10.0,4.0
158,13,2026-03-26 12:21:22,2026-03-26 12:25:56,3,,,,,,,,,,,,,,,,,,,-10.0,0.0,0.0,2.0,4.0,5.0,4.0,6.0,6.0,,,,,,,,,,7.0,1.0,40.0,4.0,99.0,48.0,1.0,2200.0,5.0,10.0,4.0
159,2,2026-03-26 12:23:15,2026-03-26 12:23:15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,3,2026-03-26 12:26:23,2026-03-26 12:26:41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,13,2026-03-26 12:26:54,2026-03-26 12:36:22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-6.0,-2.0,-1.0,0.0,3.0,10.0,10.0,20.0,7.0,1.0,50.0,2.0,100.0,72.0,3.0,1500.0,4.0,14.0,5.0
162,3,2026-03-26 12:26:55,2026-03-26 12:27:04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,2026-03-26 12:29:01,2026-03-26 12:29:01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,13,2026-03-26 12:29:05,2026-03-26 12:31:55,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,120.0,43.0,3.0,5000.0,8.0,2.0,7.0
165,13,2026-03-26 12:31:39,2026-03-26 12:35:07,2,,,,,,,,,,0.0,0.0,50.0,75.0,100.0,75.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,5.0,120.0,48.0,3.0,6000.0,8.0,10.0,4.0
166,10,2026-03-26 12:34:39,2026-03-26 12:36:36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,110.0,110.0,100.0,100.0,7.0,0.0,,,,,,,,,
167,13,2026-03-26 12:39:23,2026-03-26 12:43:22,1,-100.0,-100.0,-50.0,-10.0,20.0,50.0,80.0,100.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,100.0,30.0,1.0,2000.0,7.0,10.0,4.0
168,13,2026-03-26 12:39:29,2026-03-26 12:45:02,2,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,0.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,1.0,50.0,61.0,3.0,4000.0,8.0,8.0,4.0
169,6,2026-03-26 12:41:45,2026-03-26 12:42:43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,13,2026-03-26 12:41:45,2026-03-26 12:49:04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-80.0,-60.0,0.0,100.0,-50.0,-100.0,-150.0,-100.0,7.0,1.0,40.0,1.0,80.0,51.0,1.0,3200.0,7.0,2.0,3.0
171,10,2026-03-26 12:46:04,2026-03-26 12:55:53,3,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,100.0,100.0,90.0,100.0,100.0,,,,,,,,,,7.0,0.0,,,,,,,,,
172,10,2026-03-26 12:46:26,2026-03-26 12:53:31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,9.0,7.0,5.0,4.0,0.0,4.0,7.0,0.0,,,,,,,,,
173,13,2026-03-26 12:54:58,2026-03-26 12:58:43,1,0.0,25.0,50.0,75.0,100.0,125.0,150.0,175.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,160.0,66.0,1.0,2000.0,6.0,7.0,4.0
174,13,2026-03-26 12:56:57,2026-03-26 13:04:47,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,2.0,5.0,10.0,50.0,,,,,,,,,,7.0,1.0,60.0,4.0,90.0,36.0,1.0,400.0,5.0,10.0,4.0
175,7,2026-03-26 13:01:22,2026-03-26 13:01:57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,13,2026-03-26 13:03:25,2026-03-26 13:09:49,2,,,,,,,,,,-10.0,-9.0,-6.0,-3.0,0.0,0.0,0.0,-3.0,-6.0,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,56.0,32.0,3.0,1200.0,3.0,9.0,3.0
177,10,2026-03-26 13:05:05,2026-03-26 13:09:20,1,80.0,60.0,40.0,20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
178,7,2026-03-26 13:05:33,2026-03-26 13:05:41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,13,2026-03-26 13:10:16,2026-03-26 13:15:11,1,-10.0,-8.0,-5.0,-2.0,0.0,2.0,4.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,55.0,3.0,84.0,41.0,1.0,1800.0,5.0,1.0,5.0
180,13,2026-03-26 13:12:33,2026-03-26 13:15:47,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20.0,100.0,110.0,120.0,140.0,160.0,,,,,,,,,,7.0,1.0,50.0,4.0,90.0,52.0,1.0,2500.0,5.0,3.0,4.0
181,3,2026-03-26 13:12:39,2026-03-26 13:12:57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,13,2026-03-26 13:15:32,2026-03-26 13:24:04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,7.0,1.0,40.0,1.0,78.0,33.0,1.0,2300.0,8.0,14.0,3.0
183,7,2026-03-26 13:27:07,2026-03-26 13:27:20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,13,2026-03-26 13:27:14,2026-03-26 13:32:06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,40.0,20.0,20.0,0.0,20.0,40.0,60.0,80.0,7.0,1.0,250.0,1.0,200.0,27.0,3.0,2400.0,3.0,1.0,5.0
185,13,2026-03-26 13:32:10,2026-03-26 13:38:40,2,,,,,,,,,,-10.0,-7.0,-5.0,-2.0,0.0,1.0,2.0,5.0,10.0,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,3.0,120.0,22.0,1.0,100.0,4.0,1.0,3.0
186,8,2026-03-26 13:32:47,2026-03-26 13:34:31,2,,,,,,,,,,0.0,25.0,50.0,75.0,100.0,125.0,150.0,175.0,200.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
187,13,2026-03-26 13:44:04,2026-03-26 13:49:53,3,,,,,,,,,,,,,,,,,,,-100.0,-95.0,-85.0,-50.0,2.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,30.0,2.0,60.0,37.0,1.0,0.0,7.0,1.0,3.0
188,13,2026-03-26 13:49:19,2026-03-26 14:02:48,3,,,,,,,,,,,,,,,,,,,-5.0,-3.0,-3.0,-1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,,,7.0,1.0,50.0,1.0,56.0,46.0,3.0,1300.0,8.0,14.0,5.0
189,10,2026-03-26 13:50:10,2026-03-26 13:52:30,1,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
190,2,2026-03-26 13:57:09,2026-03-26 13:57:09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,10,2026-03-26 14:00:40,2026-03-26 14:02:48,1,20.0,30.0,60.0,80.0,100.0,120.0,150.0,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
192,13,2026-03-26 14:04:21,2026-03-26 14:16:32,1,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,1.0,55.0,32.0,3.0,3000.0,8.0,2.0,5.0
193,13,2026-03-26 14:13:28,2026-03-26 14:18:12,2,,,,,,,,,,-80.0,-50.0,-30.0,-20.0,0.0,20.0,50.0,80.0,100.0,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,69.0,71.0,1.0,1416.0,7.0,3.0,4.0
194,13,2026-03-26 14:23:49,2026-03-26 15:08:26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,50.0,100.0,100.0,80.0,60.0,40.0,7.0,1.0,30.0,2.0,80.0,26.0,3.0,600.0,4.0,2.0,4.0
195,13,2026-03-26 14:26:01,2026-03-26 14:45:13,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,100.0,67.0,3.0,2500.0,8.0,4.0,3.0
196,13,2026-03-26 14:29:43,2026-03-26 14:33:08,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,1.0,80.0,3.0,80.0,36.0,3.0,1100.0,8.0,11.0,7.0
197,3,2026-03-26 14:31:10,2026-03-26 14:31:54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
